# Wavelength Flux
3.757992e+03 8.949690e-01
3.758007e+03 8.867141e-01
3.758021e+03 8.872185e-01
3.758036e+03 8.741347e-01
3.758051e+03 8.575491e-01
3.758065e+03 8.427231e-01
3.758080e+03 7.983925e-01
3.758095e+03 7.612814e-01
3.758109e+03 7.222853e-01
3.758124e+03 6.409173e-01
3.758139e+03 5.676623e-01
3.758153e+03 4.784845e-01
3.758168e+03 3.671090e-01
3.758182e+03 2.682803e-01
3.758197e+03 1.930167e-01
3.758212e+03 1.357514e-01
3.758227e+03 1.063029e-01
3.758241e+03 1.097898e-01
3.758256e+03 1.379027e-01
3.758271e+03 1.877799e-01
3.758285e+03 2.739953e-01
3.758300e+03 3.723095e-01
3.758314e+03 4.750499e-01
3.758329e+03 5.812181e-01
3.758344e+03 6.716214e-01
3.758358e+03 7.440857e-01
3.758373e+03 8.015903e-01
3.758388e+03 8.335201e-01
3.758402e+03 8.523465e-01
3.758417e+03 8.509525e-01
3.758432e+03 8.375453e-01
3.758446e+03 8.464949e-01
3.758461e+03 8.704221e-01
3.758476e+03 8.888667e-01
3.758490e+03 8.950986e-01
3.758505e+03 9.251574e-01
3.758519e+03 9.351845e-01
3.758534e+03 9.449512e-01
3.758549e+03 9.765410e-01
3.758563e+03 9.749832e-01
3.758578e+03 9.756769e-01
3.758593e+03 9.788145e-01
3.758607e+03 9.935923e-01
3.758622e+03 9.737712e-01
3.758637e+03 9.673277e-01
3.758651e+03 9.853899e-01
3.758666e+03 9.756460e-01
3.758681e+03 9.868382e-01
3.758695e+03 9.999525e-01
3.758710e+03 1.003751e+00
3.758725e+03 9.860101e-01
3.758739e+03 9.781907e-01
3.758754e+03 9.787763e-01
3.758769e+03 1.000004e+00
3.758783e+03 9.891159e-01
3.758798e+03 9.791803e-01
3.758813e+03 9.735838e-01
3.758827e+03 9.719189e-01
3.758842e+03 9.603904e-01
3.758856e+03 9.443797e-01
3.758871e+03 9.248911e-01
3.758886e+03 8.817974e-01
3.758900e+03 8.253317e-01
3.758915e+03 7.636503e-01
3.758930e+03 7.087292e-01
3.758944e+03 6.714555e-01
3.758959e+03 6.484225e-01
3.758974e+03 6.377394e-01
3.758988e+03 6.248378e-01
3.759003e+03 6.176392e-01
3.759017e+03 6.058139e-01
3.759032e+03 5.847013e-01
3.759047e+03 5.369963e-01
3.759061e+03 5.027174e-01
3.759076e+03 4.910563e-01
3.759091e+03 5.367172e-01
3.759105e+03 6.177912e-01
3.759120e+03 6.780531e-01
3.759135e+03 7.219913e-01
3.759150e+03 7.560424e-01
3.759164e+03 7.373872e-01
3.759179e+03 6.931509e-01
3.759193e+03 6.231984e-01
3.759208e+03 5.202280e-01
3.759223e+03 4.008843e-01
3.759237e+03 2.938052e-01
3.759252e+03 2.224534e-01
3.759267e+03 1.666980e-01
3.759281e+03 1.419691e-01
3.759296e+03 1.375307e-01
3.759311e+03 1.536785e-01
3.759325e+03 1.975349e-01
3.759340e+03 2.782741e-01
3.759354e+03 3.879961e-01
3.759369e+03 5.115057e-01
3.759384e+03 6.200846e-01
3.759398e+03 7.113950e-01
3.759413e+03 7.813147e-01
3.759428e+03 8.341760e-01
3.759442e+03 8.764463e-01
3.759457e+03 9.089364e-01
3.759472e+03 9.270112e-01
3.759486e+03 9.387710e-01
3.759501e+03 9.527503e-01
3.759516e+03 9.639537e-01
3.759530e+03 9.600961e-01
3.759545e+03 9.664147e-01
3.759559e+03 9.681801e-01
3.759574e+03 9.674448e-01
3.759589e+03 9.771797e-01
3.759604e+03 9.678118e-01
3.759618e+03 9.663041e-01
3.759633e+03 9.764214e-01
3.759648e+03 9.687925e-01
3.759662e+03 9.777105e-01
3.759677e+03 9.858298e-01
3.759691e+03 9.856017e-01
3.759706e+03 9.865529e-01
3.759721e+03 9.746844e-01
3.759735e+03 9.568192e-01
3.759750e+03 9.354347e-01
3.759765e+03 9.152166e-01
3.759779e+03 9.004610e-01
3.759794e+03 8.935059e-01
3.759809e+03 9.133410e-01
3.759823e+03 9.242579e-01
3.759838e+03 9.385515e-01
3.759853e+03 9.567237e-01
3.759867e+03 9.814066e-01
3.759882e+03 9.849839e-01
3.759896e+03 9.809431e-01
3.759911e+03 9.702462e-01
3.759926e+03 9.761845e-01
3.759940e+03 9.530937e-01
3.759955e+03 9.152880e-01
3.759970e+03 8.630763e-01
3.759984e+03 7.720259e-01
3.759999e+03 6.764556e-01
3.760014e+03 5.827780e-01
3.760028e+03 5.004224e-01
3.760043e+03 4.712652e-01
3.760058e+03 5.118124e-01
3.760072e+03 6.002510e-01
3.760087e+03 7.043993e-01
3.760102e+03 7.970446e-01
3.760116e+03 8.634831e-01
3.760131e+03 9.027435e-01
3.760146e+03 9.171317e-01
3.760160e+03 9.335871e-01
3.760175e+03 9.391457e-01
3.760190e+03 9.293388e-01
3.760204e+03 9.279732e-01
3.760219e+03 9.257187e-01
3.760233e+03 9.335138e-01
3.760248e+03 9.634667e-01
3.760263e+03 9.700136e-01
3.760277e+03 9.756399e-01
3.760292e+03 9.823663e-01
3.760307e+03 9.955746e-01
3.760321e+03 1.000589e+00
3.760336e+03 9.986852e-01
3.760351e+03 9.938850e-01
3.760365e+03 9.946092e-01
3.760380e+03 9.828826e-01
3.760395e+03 9.716080e-01
3.760409e+03 9.618672e-01
3.760424e+03 9.621176e-01
3.760438e+03 9.390369e-01
3.760453e+03 9.028065e-01
3.760468e+03 8.520766e-01
3.760482e+03 7.631528e-01
3.760497e+03 6.713318e-01
3.760512e+03 6.009993e-01
3.760527e+03 5.655314e-01
3.760541e+03 6.102443e-01
3.760556e+03 6.858405e-01
3.760570e+03 7.653092e-01
3.760585e+03 8.342785e-01
3.760600e+03 8.802491e-01
3.760614e+03 8.903313e-01
3.760629e+03 8.810974e-01
3.760644e+03 8.569912e-01
3.760658e+03 7.860451e-01
3.760673e+03 7.219656e-01
3.760688e+03 6.721009e-01
3.760702e+03 6.605513e-01
3.760717e+03 7.013551e-01
3.760732e+03 7.586252e-01
3.760746e+03 8.260254e-01
3.760761e+03 8.998492e-01
3.760775e+03 9.295808e-01
3.760790e+03 9.519979e-01
3.760805e+03 9.693340e-01
3.760819e+03 9.828837e-01
3.760834e+03 9.828870e-01
3.760849e+03 9.730569e-01
3.760863e+03 9.561793e-01
3.760878e+03 9.608122e-01
3.760893e+03 9.401478e-01
3.760907e+03 9.274973e-01
3.760922e+03 9.293400e-01
3.760937e+03 9.400074e-01
3.760951e+03 9.389349e-01
3.760966e+03 9.449984e-01
3.760981e+03 9.654551e-01
3.760995e+03 9.691495e-01
3.761010e+03 9.717972e-01
3.761025e+03 9.723234e-01
3.761039e+03 9.698361e-01
3.761054e+03 9.683138e-01
3.761069e+03 9.593685e-01
3.761083e+03 9.504272e-01
3.761098e+03 9.471142e-01
3.761112e+03 9.452096e-01
3.761127e+03 9.402832e-01
3.761142e+03 9.296925e-01
3.761156e+03 9.070507e-01
3.761171e+03 8.634483e-01
3.761186e+03 8.291914e-01
3.761200e+03 7.880794e-01
3.761215e+03 7.101049e-01
3.761230e+03 6.079760e-01
3.761244e+03 4.894690e-01
3.761259e+03 3.678674e-01
3.761274e+03 2.697464e-01
3.761288e+03 1.959496e-01
3.761303e+03 1.504358e-01
3.761317e+03 1.306719e-01
3.761332e+03 1.498348e-01
3.761347e+03 1.802286e-01
3.761361e+03 2.608267e-01
3.761376e+03 3.721169e-01
3.761391e+03 4.376141e-01
3.761405e+03 5.450922e-01
3.761420e+03 6.541749e-01
3.761435e+03 7.587872e-01
3.761449e+03 8.385656e-01
3.761464e+03 8.777589e-01
3.761479e+03 9.097081e-01
3.761493e+03 9.365314e-01
3.761508e+03 9.447578e-01
3.761523e+03 9.504129e-01
3.761537e+03 9.567159e-01
3.761552e+03 9.631290e-01
3.761567e+03 9.523079e-01
3.761581e+03 9.572774e-01
3.761596e+03 9.669920e-01
3.761611e+03 9.784405e-01
3.761625e+03 9.590062e-01
3.761640e+03 9.658493e-01
3.761654e+03 9.643882e-01
3.761669e+03 9.487168e-01
3.761684e+03 9.606456e-01
3.761698e+03 9.596841e-01
3.761713e+03 9.626166e-01
3.761728e+03 9.732872e-01
3.761742e+03 9.806849e-01
3.761757e+03 9.682941e-01
3.761772e+03 9.489923e-01
3.761786e+03 9.244829e-01
3.761801e+03 8.820840e-01
3.761816e+03 8.326468e-01
3.761830e+03 7.768358e-01
3.761845e+03 7.143372e-01
3.761859e+03 6.728925e-01
3.761874e+03 6.359431e-01
3.761889e+03 6.211694e-01
3.761904e+03 6.409895e-01
3.761918e+03 6.899563e-01
3.761933e+03 7.497419e-01
3.761948e+03 8.202727e-01
3.761962e+03 9.026467e-01
3.761977e+03 9.316643e-01
3.761991e+03 9.578350e-01
3.762006e+03 9.734270e-01
3.762021e+03 9.742922e-01
3.762035e+03 9.928705e-01
3.762050e+03 9.917310e-01
3.762065e+03 9.844977e-01
3.762079e+03 9.739282e-01
3.762094e+03 9.558299e-01
3.762109e+03 9.518895e-01
3.762123e+03 9.506552e-01
3.762138e+03 9.489217e-01
3.762153e+03 9.424308e-01
3.762167e+03 9.375667e-01
3.762182e+03 9.337380e-01
3.762196e+03 9.316744e-01
3.762211e+03 9.437904e-01
3.762226e+03 9.482452e-01
3.762240e+03 9.564438e-01
3.762255e+03 9.723876e-01
